lng,lan,number
-8.614593,41.144229,1
-8.607096,41.150331,1
-8.640603,41.161365,1
-8.628354,41.157288,1
-8.607069,41.150079,1
-8.606493,41.144679,1
-8.629731,41.179851,1
-8.640045,41.159664,1
-8.619786,41.147955,1
-8.611164,41.172147,1
-8.615124,41.140926,1
-8.608437,41.15889,1
-8.606421,41.14476,1
-8.58285,41.180823,1
-8.628291,41.157423,1
-8.594397,41.19696,1
-8.6094,41.177196,1
-8.607024,41.150169,1
-8.606349,41.144661,1
-8.607024,41.150259,1
-8.611461,41.146632,1
-8.650179,41.178294,1
-8.590374,41.145408,1
-8.610921,41.145759,1
-8.58627,41.176836,1
-8.619777,41.148072,1
-8.611146,41.170959,1
-8.619813,41.148054,1
-8.602947,41.179626,1
-8.649621,41.154183,1
-8.628678,41.161041,1
-8.628309,41.157675,1
-8.663436,41.155416,1
-8.628525,41.157315,1
-8.671851,41.153733,1
-8.619804,41.147991,1
-8.585622,41.148567,1
-8.602839,41.179635,1
-8.627229,41.151978,1
-8.596998,41.182992,1
-8.661015,41.1651,1
-8.60004,41.182686,1
-8.608734,41.15349,1
-8.630271,41.161122,1
-8.665173,41.162013,1
-8.627013,41.149053,1
-8.599203,41.149125,1
-8.628273,41.157405,1
-8.611137,41.149359,1
-8.62083,41.162103,1
-8.650971,41.171652,1
-8.656839,41.161491,1
-8.649369,41.16753,1
-8.602902,41.179635,1
-8.610399,41.141097,1
-8.629092,41.156649,1
-8.649504,41.167143,1
-8.665551,41.170743,1
-8.645499,41.15727,1
-8.601948,41.179635,1
-8.591265,41.162688,1
-8.649315,41.154282,1
-8.606448,41.144526,1
-8.585604,41.148558,1
-8.62839,41.157684,1
-8.609463,41.151276,1
-8.619804,41.148063,1
-8.630712,41.154768,1
-8.599194,41.149116,1
-8.625555,41.1489,1
-8.61489,41.164587,1
-8.602902,41.179635,1
-8.628246,41.157315,1
-8.625105,41.145462,1
-8.628525,41.2092,1
-8.689347,41.168115,1
-8.649441,41.154174,1
-8.587539,41.177844,1
-8.613711,41.141268,1
-8.634438,41.152554,1
-8.619831,41.147847,1
-8.619795,41.147982,1
-8.619795,41.148036,1
-8.62776,41.175423,1
-8.604171,41.161077,1
-8.66061,41.176368,1
-8.599284,41.149179,1
-8.630514,41.154705,1
-8.585604,41.148603,1
-8.608482,41.165442,1
-8.584299,41.163246,1
-8.642322,41.160204,1
-8.609526,41.160222,1
-8.607204,41.145615,1
-8.591265,41.162688,1
-8.627706,41.175387,1
-8.630424,41.154885,1
-8.628102,41.157414,1
-8.628534,41.151429,1
-8.585622,41.14854,1
-8.610768,41.145786,1
-8.609256,41.151429,1
-8.612451,41.145948,1
-8.603361,41.147523,1
-8.655156,41.152644,1
-8.611011,41.145588,1
-8.609616,41.166054,1
-8.605782,41.153634,1
-8.585577,41.148576,1
-8.613882,41.141322,1
-8.653743,41.167917,1
-8.653761,41.156532,1
-8.591211,41.162715,1
-8.63055,41.154885,1
-8.61084,41.145678,1
-8.58564,41.14854,1
-8.622252,41.179338,1
-8.627562,41.15763,1
-8.585694,41.148432,1
-8.585703,41.14854,1
-8.587611,41.146101,1
-8.596809,41.172237,1
-8.597511,41.148909,1
-8.606592,41.144571,1
-8.617572,41.146128,1
-8.585631,41.148513,1
-8.589339,41.169663,1
-8.612514,41.146002,1
-8.620812,41.156433,1
-8.636139,41.211981,1
-8.604072,41.182587,1
-8.611281,41.172093,1
-8.627805,41.157819,1
