lng,lan,number
-8.594568,41.158557,1
-8.609652,41.151267,1
-8.630784,41.154795,1
-8.612424,41.145975,1
-8.58924,41.16969,1
-8.613765,41.150052,1
-8.628849,41.160996,1
-8.694846,41.186916,1
-8.568369,41.1516,1
-8.608203,41.183262,1
-8.593821,41.139999,1
-8.597925,41.174685,1
-8.576019,41.160339,1
-8.569764,41.166054,1
-8.639856,41.15988,1
-8.591256,41.162742,1
-8.624322,41.1795,1
-8.60652,41.144526,1
-8.642124,41.164938,1
-8.606934,41.145633,1
-8.585604,41.148585,1
-8.668233,41.14782,1
-8.665497,41.170779,1
-8.6526,41.169285,1
-8.589123,41.18184,1
-8.649927,41.167467,1
-8.649882,41.166234,1
-8.683506,41.159106,1
-8.623035,41.169798,1
-8.627751,41.175387,1
-8.610939,41.145651,1
-8.639784,41.159799,1
-8.669259,41.236668,1
-8.585667,41.148549,1
-8.637408,41.185521,1
-8.639883,41.159736,1
-8.632287,41.164461,1
-8.628849,41.160969,1
-8.670015,41.236965,1
-8.600076,41.182677,1
-8.593767,41.157639,1
-8.604873,41.180175,1
-8.614062,41.141277,1
-8.665623,41.170644,1
-8.606493,41.144544,1
-8.611515,41.149017,1
-8.654733,41.173533,1
-8.570205,41.159583,1
-8.628912,41.161041,1
-8.646642,41.175711,1
-8.610831,41.145615,1
-8.611128,41.149395,1
-8.613297,41.154372,1
-8.616033,41.140485,1
-8.609355,41.177196,1
-8.613846,41.141187,1
-8.580078,41.159394,1
-8.62713,41.166927,1
-8.613324,41.166864,1
-8.61237,41.144553,1
-8.585658,41.148531,1
-8.585604,41.148576,1
-8.639928,41.159718,1
-8.600184,41.18274,1
-8.610876,41.145624,1
-8.665119,41.15475,1
-8.606808,41.145795,1
-8.627085,41.151969,1
-8.606547,41.144544,1
-8.591229,41.162724,1
-8.606394,41.178321,1
-8.645283,41.157387,1
-8.610813,41.145588,1
-8.657307,41.150007,1
-8.680428,41.155524,1
-8.568351,41.151636,1
-8.627616,41.157765,1
-8.580114,41.159322,1
-8.619813,41.147946,1
-8.613963,41.141142,1
-8.654742,41.173551,1
-8.615457,41.162499,1
-8.609463,41.151294,1
-8.646804,41.167557,1
-8.606655,41.144607,1
-8.579997,41.159268,1
-8.640684,41.161068,1
-8.649774,41.16654,1
-8.599239,41.149179,1
-8.628894,41.160825,1
-8.593191,41.158233,1
-8.628102,41.157288,1
-8.562582,41.176629,1
-8.591319,41.156181,1
-8.609076,41.154372,1
-8.606511,41.144535,1
-8.669574,41.169483,1
-8.609265,41.143185,1
-8.610957,41.145624,1
-8.606403,41.147892,1
-8.610822,41.145642,1
-8.60949,41.151339,1
-8.604846,41.161113,1
-8.619813,41.147991,1
-8.584353,41.163174,1
-8.644095,41.15745,1
-8.577099,41.163714,1
-8.628912,41.161005,1
-8.580033,41.159439,1
-8.610759,41.145633,1
-8.564481,41.151564,1
-8.630928,41.159925,1
-8.64999,41.165946,1
-8.585613,41.148549,1
-8.660502,41.150052,1
-8.589267,41.169771,1
-8.636688,41.164443,1
-8.65494,41.171409,1
-8.619777,41.148009,1
-8.61993,41.147955,1
-8.589258,41.169717,1
-8.622963,41.150844,1
-8.589357,41.169663,1
-8.608014,41.162247,1
-8.607006,41.150331,1
-8.615565,41.140935,1
-8.65683,41.161428,1
-8.606997,41.150178,1
-8.599194,41.149143,1
-8.609823,41.147766,1
-8.630604,41.154858,1
-8.674074,41.153868,1
-8.612496,41.146119,1
-8.685234,41.173758,1
-8.59122,41.162733,1
-8.56836,41.151699,1
-8.649369,41.154327,1
-8.58564,41.148639,1
-8.639658,41.159763,1
-8.649369,41.167251,1
-8.613558,41.141313,1
-8.585892,41.175882,1
-8.665074,41.1489,1
-8.608788,41.158197,1
-8.606556,41.144571,1
-8.61264,41.145939,1
-8.649612,41.167251,1
-8.599401,41.161941,1
-8.642178,41.164929,1
-8.629614,41.177718,1
-8.606601,41.14449,1
-8.650278,41.161563,1
-8.603469,41.167314,1
-8.628651,41.160861,1
-8.609886,41.14773,1
-8.616645,41.141448,1
-8.613531,41.147559,1
-8.625915,41.157351,1
-8.606412,41.144562,1
-8.585631,41.148585,1
-8.606043,41.144463,1
-8.636679,41.159349,1
-8.666703,41.155614,1
-8.624844,41.177349,1
-8.627706,41.175387,1
-8.659755,41.15925,1
-8.607132,41.144913,1
-8.639784,41.159781,1
-8.613189,41.154489,1
-8.56944,41.162193,1
-8.624628,41.177745,1
-8.64432,41.158818,1
-8.606538,41.144589,1
-8.663139,41.174154,1
-8.618112,41.169699,1
-8.674128,41.153868,1
-8.613081,41.140467,1
