lng,lan,number
-8.613225,41.154435,1
-8.644374,41.154417,1
-8.57601,41.160393,1
-8.534952,41.222286,1
-8.639811,41.159754,1
-8.641512,41.172417,1
-8.568972,41.153463,1
-8.59923,41.149161,1
-8.608005,41.148279,1
-8.585631,41.148576,1
-8.643852,41.161545,1
-8.667576,41.155767,1
-8.627643,41.157666,1
-8.619822,41.148,1
-8.615673,41.140701,1
-8.627229,41.151942,1
-8.585757,41.148612,1
-8.676171,41.151438,1
-8.612595,41.178384,1
-8.600031,41.182704,1
-8.615088,41.145642,1
-8.609625,41.16042,1
-8.649522,41.154489,1
-8.616573,41.136948,1
-8.628741,41.160843,1
-8.58564,41.148594,1
-8.630478,41.154849,1
-8.606907,41.15061,1
-8.611236,41.172138,1
-8.572563,41.179293,1
-8.610732,41.145588,1
-8.585793,41.14854,1
-8.661438,41.171247,1
-8.591265,41.162715,1
-8.585406,41.167827,1
-8.618148,41.152734,1
-8.610768,41.145813,1
-8.610912,41.147091,1
-8.60697,41.150358,1
-8.639937,41.159763,1
-8.607042,41.150268,1
-8.60652,41.14467,1
-8.649576,41.167431,1
-8.591202,41.16267,1
-8.617041,41.142609,1
-8.581104,41.144967,1
-8.665092,41.170995,1
-8.610948,41.149125,1
-8.666667,41.173911,1
-8.640774,41.159943,1
-8.622963,41.15079,1
-8.584254,41.163138,1
-8.632314,41.164461,1
-8.610381,41.155308,1
-8.592606,41.151384,1
-8.613162,41.140359,1
-8.604882,41.161095,1
-8.560413,41.154516,1
-8.610858,41.145687,1
-8.690346,41.257494,1
-8.584371,41.163129,1
-8.613918,41.141259,1
-8.674074,41.153976,1
-8.555697,41.173299,1
-8.628966,41.160888,1
-8.641404,41.160141,1
-8.599239,41.149161,1
-8.615808,41.161437,1
-8.608473,41.147676,1
-8.604423,41.148018,1
-8.630505,41.154768,1
-8.627058,41.166927,1
-8.585919,41.148702,1
-8.582733,41.180544,1
-8.585802,41.148567,1
-8.689356,41.168088,1
-8.628462,41.157288,1
-8.639901,41.159772,1
-8.606538,41.144688,1
-8.621118,41.16105,1
-8.626392,41.159052,1
-8.656668,41.151231,1
-8.66583,41.170716,1
-8.611191,41.172282,1
-8.570835,41.159979,1
-8.627085,41.166918,1
-8.60292,41.179662,1
-8.670402,41.151483,1
-8.610813,41.145804,1
-8.602857,41.179644,1
-8.585721,41.148594,1
-8.630433,41.154768,1
-8.611056,41.145345,1
-8.609886,41.148072,1
-8.619795,41.148018,1
-8.628237,41.157333,1
-8.606439,41.144562,1
-8.615457,41.140899,1
-8.600094,41.182776,1
-8.589249,41.169672,1
-8.62785,41.152464,1
-8.624394,41.17815,1
-8.646408,41.177781,1
-8.610849,41.14845,1
-8.602866,41.179653,1
-8.584299,41.163192,1
