lng,lan,number
-8.619804,41.147937,1
-8.585622,41.148603,1
-8.617896,41.146965,1
-8.610768,41.14071,1
-8.61291,41.140449,1
-8.613954,41.141259,1
-8.661789,41.147406,1
-8.585649,41.148603,1
-8.674128,41.153832,1
-8.612991,41.140386,1
-8.610498,41.140692,1
-8.612568,41.146092,1
-8.604603,41.161464,1
-8.599203,41.149143,1
-8.611119,41.149377,1
-8.585622,41.148522,1
-8.603172,41.142591,1
-8.649513,41.16726,1
-8.647452,41.151753,1
-8.612721,41.140449,1
-8.680617,41.156154,1
-8.611047,41.145822,1
-8.649495,41.154201,1
-8.611515,41.140593,1
-8.566929,41.200623,1
-8.604621,41.157729,1
-8.611155,41.172012,1
-8.649405,41.154291,1
-8.627643,41.175117,1
-8.628543,41.157765,1
-8.612703,41.140449,1
-8.609643,41.146551,1
-8.673732,41.149683,1
-8.641368,41.184963,1
-8.617626,41.146164,1
-8.608698,41.147847,1
-8.630658,41.15502,1
-8.619804,41.148009,1
-8.607411,41.145471,1
-8.615664,41.140683,1
-8.640648,41.161077,1
-8.585649,41.148576,1
-8.339238,41.199309,1
-8.610795,41.145498,1
-8.612523,41.146056,1
-8.624412,41.1795,1
-8.606052,41.144418,1
-8.619948,41.147928,1
-8.639829,41.159763,1
-8.612928,41.140386,1
-8.649612,41.167305,1
-8.640648,41.161005,1
-8.583201,41.158782,1
-8.665569,41.170743,1
-8.606997,41.150268,1
-8.630559,41.154957,1
-8.64936,41.154462,1
-8.619786,41.148117,1
-8.610885,41.145651,1
-8.589249,41.169717,1
-8.609724,41.154228,1
-8.589231,41.169654,1
-8.612982,41.140395,1
-8.59149,41.152977,1
-8.600238,41.182722,1
-8.616735,41.160987,1
-8.61291,41.140242,1
-8.58258,41.180427,1
-8.660655,41.170266,1
-8.67411,41.15385,1
-8.60022,41.182713,1
-8.611236,41.140656,1
-8.639766,41.159673,1
-8.613819,41.141259,1
-8.576649,41.161266,1
-8.613,41.140341,1
-8.600166,41.182704,1
-8.585667,41.148558,1
-8.619858,41.147955,1
-8.611227,41.172039,1
-8.615475,41.14071,1
-8.6139,41.141295,1
-8.610867,41.145552,1
-8.602056,41.157153,1
-8.688294,41.183163,1
-8.610066,41.140908,1
-8.615502,41.140665,1
-8.595324,41.157225,1
-8.627274,41.152041,1
-8.584272,41.163255,1
-8.613801,41.141349,1
-8.619894,41.147973,1
-8.58564,41.148612,1
-8.612937,41.14035,1
-8.604144,41.161095,1
-8.614026,41.141304,1
-8.584236,41.163156,1
-8.629146,41.17959,1
-8.630271,41.157423,1
-8.630568,41.154903,1
-8.610948,41.145615,1
-8.649108,41.16762,1
-8.617599,41.142357,1
-8.600166,41.182704,1
-8.627337,41.150457,1
-8.613279,41.154255,1
-8.59743,41.187699,1
-8.559666,41.177304,1
-8.589276,41.169663,1
-8.614062,41.141205,1
-8.611704,41.146083,1
-8.65476,41.173569,1
-8.611479,41.146317,1
-8.60796,41.14827,1
-8.617617,41.146119,1
-8.650611,41.150853,1
-8.642718,41.174001,1
